Ticker,dk4,dk5,tong,grade
MPY,1,1,2,A
PC1,1,1,2,A
NHT,1,1,2,A
NJC,1,1,2,A
NKG,1,1,2,A
NLG,1,1,2,A
NLS,1,1,2,A
NNC,1,1,2,A
NO1,1,1,2,A
NQT,1,1,2,A
NS2,1,1,2,A
NSC,1,1,2,A
NSH,1,1,2,A
NST,1,1,2,A
NTF,1,1,2,A
NTH,1,1,2,A
NTL,1,1,2,A
NTP,1,1,2,A
NTT,1,1,2,A
NUE,1,1,2,A
NVP,1,1,2,A
NWT,1,1,2,A
OCH,1,1,2,A
ONE,1,1,2,A
ONW,1,1,2,A
PAC,1,1,2,A
PAN,1,1,2,A
PAP,1,1,2,A
PAS,1,1,2,A
NHH,1,1,2,A
NHC,1,1,2,A
NHA,1,1,2,A
MVN,1,1,2,A
MNB,1,1,2,A
MQB,1,1,2,A
MRF,1,1,2,A
MSH,1,1,2,A
MSN,1,1,2,A
MSR,1,1,2,A
MTA,1,1,2,A
MTC,1,1,2,A
MTG,1,1,2,A
MTH,1,1,2,A
MTS,1,1,2,A
MVC,1,1,2,A
MWG,1,1,2,A
NFC,1,1,2,A
NAC,1,1,2,A
NAG,1,1,2,A
NAS,1,1,2,A
NAW,1,1,2,A
NBT,1,1,2,A
NCG,1,1,2,A
NCT,1,1,2,A
ND2,1,1,2,A
NDC,1,1,2,A
NDP,1,1,2,A
NDT,1,1,2,A
NED,1,1,2,A
PAT,1,1,2,A
PCE,1,1,2,A
MLS,1,1,2,A
PCH,1,1,2,A
PQN,1,1,2,A
PRC,1,1,2,A
PRT,1,1,2,A
PSC,1,1,2,A
PSD,1,1,2,A
PSE,1,1,2,A
PSW,1,1,2,A
PTB,1,1,2,A
PTE,1,1,2,A
PTG,1,1,2,A
PTH,1,1,2,A
PTO,1,1,2,A
PTP,1,1,2,A
PTS,1,1,2,A
PTT,1,1,2,A
PTV,1,1,2,A
PVE,1,1,2,A
PVG,1,1,2,A
PVL,1,1,2,A
PVR,1,1,2,A
PVT,1,1,2,A
PVX,1,1,2,A
PXI,1,1,2,A
PXL,1,1,2,A
PXS,1,1,2,A
QCG,1,1,2,A
QNT,1,1,2,A
PPY,1,1,2,A
PPT,1,1,2,A
PPH,1,1,2,A
PHP,1,1,2,A
PCM,1,1,2,A
PDB,1,1,2,A
PDN,1,1,2,A
PDV,1,1,2,A
PEC,1,1,2,A
PEN,1,1,2,A
PEQ,1,1,2,A
PET,1,1,2,A
PFL,1,1,2,A
PGC,1,1,2,A
PGD,1,1,2,A
PGN,1,1,2,A
PHR,1,1,2,A
PPE,1,1,2,A
PIA,1,1,2,A
PIT,1,1,2,A
PJT,1,1,2,A
PLE,1,1,2,A
PLP,1,1,2,A
PMB,1,1,2,A
