Ticker,YearReport,LengthReport,dky1,dky2,dkq1,dkq2,dkq3,so_luong_1,grade
AAS,2025,2,0,1,0,0,1,2,D
ABW,2025,2,1,1,1,0,0,3,C
AGR,2025,2,1,1,0,0,0,2,D
APG,2025,2,0,0,0,0,0,0,F
APS,2025,2,1,1,1,1,1,5,A
ART,2025,2,0,1,0,0,0,1,E
BMS,2025,2,0,0,0,0,1,1,E
BSI,2025,2,0,0,1,1,1,3,C
BVS,2025,2,0,1,1,1,1,4,B
CSI,2025,2,0,1,1,1,1,4,B
CTS,2025,2,0,1,1,1,1,4,B
DSC,2025,2,0,0,0,0,0,0,F
DSE,2025,2,0,1,1,0,1,3,C
EVS,2025,2,0,0,0,0,0,0,F
FTS,2025,2,0,1,0,1,1,3,C
HAC,2025,2,0,0,1,1,1,3,C
HBS,2025,2,0,0,1,0,1,2,D
HCM,2025,2,1,1,0,0,0,2,D
IVS,2025,2,0,0,1,1,1,3,C
MBS,2025,2,1,1,0,1,0,3,C
ORS,2025,2,0,1,0,0,0,1,E
PHS,2025,2,0,0,1,1,1,3,C
PSI,2025,2,0,1,1,0,1,3,C
SBS,2025,2,0,0,1,1,1,3,C
SHS,2025,2,1,0,1,1,1,4,B
SSI,2025,2,1,1,1,1,1,5,A
TCI,2025,2,0,1,0,0,0,1,E
TVB,2025,2,1,0,0,0,1,2,D
TVS,2025,2,0,0,1,1,1,3,C
VCI,2025,2,1,1,1,1,0,4,B
VDS,2025,2,0,0,0,0,0,0,F
VFS,2025,2,0,0,0,1,1,2,D
VIG,2025,2,0,0,0,0,0,0,F
VIX,2025,2,0,0,1,1,1,3,C
VND,2025,2,0,0,0,0,1,1,E
VUA,2025,2,1,1,0,0,0,2,D
WSS,2025,2,0,0,1,1,1,3,C
