Ticker,YearReport,LengthReport,Tong_p,Tong_n
AAS,2024,1,24,21
AAS,2024,2,16,29
AAS,2025,1,22,23
AAS,2025,2,17,28
ABW,2024,1,22,23
ABW,2024,2,34,11
ABW,2025,1,26,19
ABW,2025,2,25,20
AGR,2024,1,24,21
AGR,2024,2,23,22
AGR,2025,1,18,27
AGR,2025,2,17,28
APG,2024,1,14,31
APG,2024,2,27,18
APG,2025,1,22,23
APG,2025,2,17,28
APS,2024,1,16,29
APS,2024,2,29,16
APS,2025,1,28,17
APS,2025,2,31,14
ART,2024,1,22,23
ART,2024,2,23,22
ART,2025,1,16,29
ART,2025,2,13,32
BMS,2024,1,33,12
BMS,2024,2,19,26
BMS,2025,1,23,22
BMS,2025,2,20,25
BSI,2024,1,30,15
BSI,2024,2,19,26
BSI,2025,1,22,23
BSI,2025,2,27,18
BVS,2024,1,22,23
BVS,2024,2,25,20
BVS,2025,1,15,30
BVS,2025,2,31,14
CSI,2024,1,20,25
CSI,2024,2,24,21
CSI,2025,1,23,22
CSI,2025,2,29,16
CTS,2024,1,27,18
CTS,2024,2,12,33
CTS,2025,1,29,16
CTS,2025,2,30,15
DNSE,2024,1,9,36
DSC,2024,1,28,17
DSC,2024,2,16,29
DSC,2025,1,24,21
DSC,2025,2,16,29
DSE,2024,1,4,41
DSE,2024,2,5,40
DSE,2025,1,23,22
DSE,2025,2,23,22
EVS,2024,1,21,24
EVS,2024,2,23,22
EVS,2025,1,19,26
EVS,2025,2,11,34
FTS,2024,1,28,17
FTS,2024,2,13,32
FTS,2025,1,10,35
FTS,2025,2,14,31
HAC,2024,1,28,17
HAC,2024,2,11,34
HAC,2025,1,21,24
HAC,2025,2,32,13
HBS,2024,1,18,27
HBS,2024,2,8,37
HBS,2025,1,28,17
HBS,2025,2,26,19
HCM,2024,1,24,21
HCM,2024,2,18,27
HCM,2025,1,16,29
HCM,2025,2,15,30
IVS,2024,1,26,19
IVS,2024,2,15,30
IVS,2025,1,24,21
IVS,2025,2,27,18
MBS,2024,1,29,16
MBS,2024,2,22,23
MBS,2025,1,20,25
MBS,2025,2,21,24
ORS,2024,1,25,20
ORS,2024,2,25,20
ORS,2025,1,14,31
ORS,2025,2,14,31
PHS,2024,1,25,20
PHS,2024,2,12,33
PHS,2025,1,19,26
PHS,2025,2,29,16
PSI,2024,1,29,16
PSI,2024,2,13,32
PSI,2025,1,28,17
PSI,2025,2,26,19
SBS,2024,1,11,34
SBS,2024,2,19,26
SBS,2025,1,13,32
SBS,2025,2,24,21
SHS,2024,1,30,15
SHS,2024,2,20,25
SHS,2025,1,21,24
SHS,2025,2,34,11
SSI,2024,1,25,20
SSI,2024,2,25,20
SSI,2025,1,22,23
SSI,2025,2,26,19
TCI,2024,1,28,17
TCI,2024,2,22,23
TCI,2025,1,26,19
TCI,2025,2,18,27
TVB,2024,1,29,16
TVB,2024,2,16,29
TVB,2025,1,28,17
TVB,2025,2,17,28
TVS,2024,1,26,19
TVS,2024,2,15,30
TVS,2025,1,17,28
TVS,2025,2,23,22
VCI,2024,1,17,28
VCI,2024,2,23,22
VCI,2025,1,18,27
VCI,2025,2,23,22
VDS,2024,1,26,19
VDS,2024,2,15,30
VDS,2025,1,22,23
VDS,2025,2,13,32
VFS,2024,1,29,16
VFS,2024,2,15,30
VFS,2025,1,11,34
VFS,2025,2,17,28
VIG,2024,1,17,28
VIG,2024,2,28,17
VIG,2025,1,14,31
VIG,2025,2,8,37
VIX,2024,1,20,25
VIX,2024,2,15,30
VIX,2025,1,25,20
VIX,2025,2,33,12
VND,2024,1,21,24
VND,2024,2,19,26
VND,2025,1,25,20
VND,2025,2,20,25
VUA,2024,1,16,29
VUA,2024,2,30,15
VUA,2025,1,22,23
VUA,2025,2,20,25
WSS,2024,1,12,33
WSS,2024,2,16,29
WSS,2025,1,26,19
WSS,2025,2,28,17
