Ticker,YearReport,LengthReport,Tong_p,Tong_n
AAS,2022,5,4,41
AAS,2023,5,13,32
AAS,2024,5,16,29
ABW,2022,5,4,41
ABW,2023,5,18,27
ABW,2024,5,25,20
AGR,2022,5,6,39
AGR,2023,5,16,29
AGR,2024,5,23,22
APG,2022,5,5,40
APG,2023,5,24,21
APG,2024,5,15,30
APS,2022,5,5,40
APS,2023,5,18,27
APS,2024,5,24,21
ART,2022,5,5,40
ART,2023,5,19,26
ART,2024,5,20,25
BMS,2022,5,3,42
BMS,2023,5,22,23
BMS,2024,5,22,23
BSI,2022,5,4,41
BSI,2023,5,26,19
BSI,2024,5,12,33
BVS,2022,5,5,40
BVS,2023,5,18,27
BVS,2024,5,21,24
CSI,2022,5,7,38
CSI,2023,5,15,30
CSI,2024,5,18,27
CTS,2022,5,2,43
CTS,2023,5,16,29
CTS,2024,5,21,24
DNSE,2022,5,1,44
DNSE,2023,5,8,37
DSC,2022,5,2,43
DSC,2023,5,34,11
DSC,2024,5,17,28
DSE,2022,5,1,44
DSE,2023,5,3,42
DSE,2024,5,6,39
EVS,2022,5,4,41
EVS,2023,5,18,27
EVS,2024,5,14,31
FTS,2022,5,5,40
FTS,2023,5,18,27
FTS,2024,5,22,23
HAC,2022,5,5,40
HAC,2023,5,28,17
HAC,2024,5,15,30
HBS,2022,5,6,39
HBS,2023,5,25,20
HBS,2024,5,9,36
HCM,2022,5,4,41
HCM,2023,5,12,33
HCM,2024,5,24,21
IVS,2022,5,5,40
IVS,2023,5,29,16
IVS,2024,5,15,30
MBS,2022,5,3,42
MBS,2023,5,14,31
MBS,2024,5,25,20
ORS,2022,5,2,43
ORS,2023,5,19,26
ORS,2024,5,22,23
PHS,2022,5,2,43
PHS,2023,5,15,30
PHS,2024,5,13,32
PSI,2022,5,2,43
PSI,2023,5,14,31
PSI,2024,5,22,23
SBS,2022,5,4,41
SBS,2023,5,26,19
SBS,2024,5,14,31
SHS,2022,5,5,40
SHS,2023,5,24,21
SHS,2024,5,24,21
SSI,2022,5,3,42
SSI,2023,5,16,29
SSI,2024,5,29,16
TCI,2022,5,6,39
TCI,2023,5,14,31
TCI,2024,5,19,26
TVB,2022,5,4,41
TVB,2023,5,30,15
TVB,2024,5,30,15
TVS,2022,5,1,44
TVS,2023,5,25,20
TVS,2024,5,20,25
VCI,2022,5,3,42
VCI,2023,5,6,39
VCI,2024,5,27,18
VDS,2022,5,4,41
VDS,2023,5,20,25
VDS,2024,5,19,26
VFS,2022,5,7,38
VFS,2023,5,20,25
VFS,2024,5,16,29
VIG,2022,5,5,40
VIG,2023,5,21,24
VIG,2024,5,12,33
VIX,2022,5,7,38
VIX,2023,5,31,14
VIX,2024,5,15,30
VND,2022,5,3,42
VND,2023,5,20,25
VND,2024,5,18,27
VUA,2022,5,6,39
VUA,2023,5,15,30
VUA,2024,5,27,18
WSS,2022,5,3,42
WSS,2023,5,31,14
WSS,2024,5,12,33
